ra,dec,mag,mjd,class_star,sector
54.83050428920644,-10.172902114047666,22.598726,57997.669534779816,0.827962,SECTOR_ALPHA
54.9240989258408,-10.179252950958237,22.55938,57944.89919667974,0.817243,SECTOR_ALPHA
54.98205498289978,-10.24217732729454,23.375,58435.23803265998,0.937012,SECTOR_ALPHA
54.98509597697587,-10.243064144272754,23.265625,58394.25061454205,0.988281,SECTOR_ALPHA
54.99790344152776,-10.232204149964677,23.484375,58435.23803265998,0.959473,SECTOR_ALPHA
55.01594176256489,-10.188710076870986,23.027576,58025.537889387226,0.824145,SECTOR_ALPHA
55.09190327914249,-10.173126439236968,22.679585,58038.39856967139,0.803267,SECTOR_ALPHA
55.12775553504665,-10.209552852412749,22.820889,58053.400804764016,0.868014,SECTOR_ALPHA
54.780133591698196,-10.098003061218035,23.578125,58435.23803265998,0.801758,SECTOR_ALPHA
54.883523062720506,-10.136370666954972,22.546875,58398.18326415727,0.983887,SECTOR_ALPHA
54.881785844644725,-10.03220748516927,22.50083,58211.52591627264,0.855566,SECTOR_ALPHA
54.82388435752857,-9.84361736039151,22.744272,58150.889973376616,0.801107,SECTOR_ALPHA
54.8770166433095,-9.839112679582756,22.550053,58026.050769786474,0.811634,SECTOR_ALPHA
54.90248436775275,-10.137718530067971,22.625,58070.20799020725,0.919922,SECTOR_ALPHA
54.925375996547096,-10.07109546466616,23.21875,57851.10346354305,0.82108,SECTOR_ALPHA
54.942523903512495,-10.076400803501798,22.921875,58398.18326415727,0.920898,SECTOR_ALPHA
55.01199231804789,-10.09843266779038,22.6875,58394.25061454205,0.847168,SECTOR_ALPHA
54.90620705085213,-9.997109430725748,22.532715,58175.21940501756,0.850293,SECTOR_ALPHA
54.93126574120049,-10.010283805205692,22.521242,58193.54548552887,0.801288,SECTOR_ALPHA
55.01838650169048,-10.031061673863118,22.813557,58191.22335778855,0.816081,SECTOR_ALPHA
55.00010553605675,-10.021970262534044,22.843046,57871.95002160892,0.834302,SECTOR_ALPHA
55.01821012629883,-9.983502190807233,23.53125,58394.25061454205,0.889648,SECTOR_ALPHA
55.0404103662898,-10.149111292875515,22.98021,57983.90855458695,0.851514,SECTOR_ALPHA
55.1842483920786,-10.171436317187476,22.875,57772.001581206256,0.802107,SECTOR_ALPHA
55.16892942187134,-10.09141860689304,23.6875,57946.65779119241,0.847021,SECTOR_ALPHA
55.04922100986485,-10.04880895585352,22.831549,57935.25931888464,0.810171,SECTOR_ALPHA
55.10457317840881,-10.040061225323452,23.03125,58103.57880423875,0.810981,SECTOR_ALPHA
55.06292400883168,-10.017245283349078,23.75,58398.18326415727,0.945801,SECTOR_ALPHA
55.14079102687652,-10.050120583651893,22.70194,58272.83088700073,0.817187,SECTOR_ALPHA
54.93365252720819,-9.953376448423311,22.71875,57802.852873873155,0.93252,SECTOR_ALPHA
54.89068933614228,-9.919372916829284,22.59328,58044.65287373737,0.82854,SECTOR_ALPHA
54.90088798335688,-9.886286646092646,22.529047,58050.47744513242,0.804537,SECTOR_ALPHA
54.94401179658054,-9.919424814868908,22.921875,57719.15708993678,0.91333,SECTOR_ALPHA
54.9531821939688,-9.865483157144778,22.944963,58142.62648220137,0.844173,SECTOR_ALPHA
54.9412547831893,-9.857050557098436,22.57702,58015.90185827573,0.864714,SECTOR_ALPHA
54.94510912793103,-9.846699414496593,23.71875,58435.23803265998,0.874023,SECTOR_ALPHA
54.95585831573357,-9.823486250522071,23.4375,58015.38394838249,0.856032,SECTOR_ALPHA
54.97258926209052,-9.824721703106952,22.578125,58398.18326415727,0.890625,SECTOR_ALPHA
55.01169745285878,-9.805929618578595,22.657799,58039.72871280575,0.858841,SECTOR_ALPHA
55.044039817500625,-9.83150145833906,22.694609,58019.423372480494,0.862854,SECTOR_ALPHA
55.09604252964028,-9.843856519551704,22.87755,57932.06489835953,0.831428,SECTOR_ALPHA
55.084632641797874,-9.833299099479817,23.3125,58069.20827551931,0.830566,SECTOR_ALPHA
55.130373033629986,-9.89851341534791,22.59775,57957.78275006273,0.826882,SECTOR_ALPHA
55.11647362802949,-9.839548532177384,22.96261,57894.69088056346,0.834869,SECTOR_ALPHA
55.16323684908625,-9.848527470272217,22.650522,57957.741882591894,0.952447,SECTOR_ALPHA
55.200163855155424,-10.132508158514453,22.772587,57893.84595558284,0.822306,SECTOR_ALPHA
55.19626685519672,-10.107737311650205,22.71875,58070.20799020725,0.890625,SECTOR_ALPHA
55.2340780931068,-10.056895586706087,22.57916,58027.32140446225,0.869344,SECTOR_ALPHA
55.22447142023124,-10.03660799629696,23.46875,58070.20799020725,0.992188,SECTOR_ALPHA
55.242381957802905,-10.039188745287628,22.791552,58195.13684800326,0.818049,SECTOR_ALPHA
55.19565787118209,-9.9969690275793,22.535545,57880.22889182216,0.933634,SECTOR_ALPHA
55.21873348835743,-9.925716135686532,22.506603,58009.55482883961,0.9021,SECTOR_ALPHA
55.211875791709375,-9.87810859403434,22.594788,58077.74217824418,0.866193,SECTOR_ALPHA
54.89821948932273,-9.781256518961348,22.655851,58085.85507876895,0.84867,SECTOR_ALPHA
54.92698830180005,-9.772567490329694,22.765625,58394.25061454205,0.882812,SECTOR_ALPHA
54.97885151654019,-9.764539731292396,22.609375,58394.25061454205,0.972168,SECTOR_ALPHA
55.06691105178245,-9.792523565544023,22.551903,58063.00319596298,0.891487,SECTOR_ALPHA
55.07473660318033,-9.767344126059808,22.697733,58080.763765764175,0.803223,SECTOR_ALPHA
57.86033312549924,-12.208089931226716,23.734375,58432.22928853007,0.880859,SECTOR_BETA
57.84143821954058,-12.19037001494523,22.8125,58394.25687554758,0.989746,SECTOR_BETA
57.84340020891196,-12.189790879380917,23.1875,58432.22928853007,0.995117,SECTOR_BETA
57.84753237621201,-12.195047744314367,22.8763,58233.26668438806,0.831328,SECTOR_BETA
57.93554338720839,-12.155406110798149,23.25,58110.31408605594,0.816748,SECTOR_BETA
57.77128585662548,-12.063376798112044,23.794292,58173.74127010815,0.809082,SECTOR_BETA
57.768184883861515,-12.046503043331873,23.004784,58213.06585757287,0.839183,SECTOR_BETA
57.810072121551855,-12.078336555362796,22.957779,58210.574963570325,0.803548,SECTOR_BETA
57.76529528695892,-12.0299390296535,22.821634,58259.96830529257,0.830664,SECTOR_BETA
57.796973937808495,-12.02215507951698,23.109375,58369.35875474941,0.984619,SECTOR_BETA
57.806400570600104,-12.01011766428684,22.9375,58432.22928853007,0.983398,SECTOR_BETA
57.81223084300659,-11.996929925028876,22.569382,58262.46698474941,0.807644,SECTOR_BETA
57.76697620581754,-11.974281801211069,22.59375,58369.35924776876,0.990723,SECTOR_BETA
57.75910085028869,-11.958015828336292,22.659237,58177.0054254706,0.91549,SECTOR_BETA
57.77626929823401,-11.952942265213268,23.230978,58177.0054254706,0.800255,SECTOR_BETA
57.827670323176285,-11.974550936429628,23.84375,58103.514348061544,0.872514,SECTOR_BETA
57.80937584796977,-11.957660875568124,23.164356,58161.22186773926,0.812683,SECTOR_BETA
57.87190893183505,-12.100051691803005,23.465605,58177.72469779101,0.837646,SECTOR_BETA
57.88617087156768,-12.134384330322902,23.480879,58211.83320189322,0.819092,SECTOR_BETA
57.890340662816925,-12.127032627250596,23.037985,58160.40005229344,0.829508,SECTOR_BETA
57.913010721439406,-12.100705111449097,23.355356,58111.18808291884,0.859212,SECTOR_BETA
57.858154519572835,-12.076962915563048,22.58386,58259.96830529257,0.888737,SECTOR_BETA
57.8603155408499,-12.067338775901096,22.97639,58250.37626456007,0.869594,SECTOR_BETA
57.88804692471958,-12.085687048590378,22.728746,58193.25422001697,0.91626,SECTOR_BETA
57.91411424478965,-12.07029564027362,22.937525,58205.07790563642,0.802361,SECTOR_BETA
57.9506641683606,-12.12185030303039,23.21875,58369.35924776876,0.961426,SECTOR_BETA
57.96684316426216,-12.130026363640654,23.264439,58158.44676192309,0.876577,SECTOR_BETA
57.97453749732275,-12.107963171726931,22.91257,58136.10902184155,0.825458,SECTOR_BETA
57.8575656212829,-12.03630719193827,23.109375,58432.22928853007,0.983398,SECTOR_BETA
57.867605237486,-12.018532378460074,22.977873,58194.996673271264,0.822906,SECTOR_BETA
57.849258157944014,-11.977599808430451,22.977688,58203.48196628076,0.826691,SECTOR_BETA
57.90861652981643,-11.976162078693818,23.09375,58369.36261960957,0.820312,SECTOR_BETA
57.98819267017388,-12.057736608636011,23.546875,58396.22580694151,0.971191,SECTOR_BETA
57.91507799667059,-11.961323240918263,23.108114,58130.33403674424,0.815363,SECTOR_BETA
58.03373719928299,-12.224349403794252,23.140625,58426.19705340639,0.990723,SECTOR_BETA
57.99898511232298,-12.213738145139716,22.765625,58432.22928853007,0.862305,SECTOR_BETA
58.0730904206332,-12.18309555956747,23.671875,58369.36261960957,0.989258,SECTOR_BETA
58.08798442053243,-12.213443585230888,23.518501,58204.31966987186,0.814401,SECTOR_BETA
58.10181208908248,-12.217705005156622,23.251404,58370.33196975644,0.844157,SECTOR_BETA
58.063652977225225,-12.157782385654189,22.776834,58308.586225267754,0.82342,SECTOR_BETA
58.01417224024253,-12.073845032855438,22.50386,58240.34290153436,0.915771,SECTOR_BETA
58.017427795161474,-12.076212935696471,22.753952,58232.242253406854,0.825581,SECTOR_BETA
58.04202628259609,-12.09062663450257,23.640625,58230.587716789865,0.866862,SECTOR_BETA
58.08742685554989,-12.10247394793887,22.783758,58205.07790563642,0.820427,SECTOR_BETA
58.14583044570894,-12.1049690812921,23.224558,58224.36707759574,0.801097,SECTOR_BETA
58.13117982574772,-12.098347687069442,23.703125,58369.36261960957,0.933594,SECTOR_BETA
58.14303116666044,-12.087976293273575,22.714277,58239.33473765701,0.845292,SECTOR_BETA
58.14459453202621,-12.089551491680792,23.6875,58426.19705340639,0.974609,SECTOR_BETA
58.00630565088183,-12.05443542550714,23.198198,58150.70697320088,0.830604,SECTOR_BETA
57.995085706123014,-12.0288890048312,23.267698,58287.073509888185,0.829627,SECTOR_BETA
58.04749923506285,-12.056209875469346,22.974154,58232.242253406854,0.826532,SECTOR_BETA
58.00501478640993,-11.989780361016752,23.78125,58264.90313961636,0.849609,SECTOR_BETA
58.05174273778642,-11.987288518859035,22.690145,58375.558846434775,0.871501,SECTOR_BETA
58.12153006318016,-12.073122001108876,23.15625,58369.36261960957,0.983887,SECTOR_BETA
58.116271160923255,-12.035545686205944,22.53245,58290.00269276799,0.890706,SECTOR_BETA
58.11402538362963,-12.02688441581114,23.875,58237.13068505423,0.882507,SECTOR_BETA
58.14028146521837,-12.002435796518643,23.597328,58292.41924208755,0.870443,SECTOR_BETA
58.15444230241424,-12.006862584800697,23.390625,58432.22928853007,0.943848,SECTOR_BETA
58.18422387874987,-12.130180419990111,23.453125,58396.22580694151,0.986572,SECTOR_BETA
58.19222534198747,-12.082982177357284,23.303698,58264.286939963735,0.802327,SECTOR_BETA
58.219330131945355,-12.070724560301104,23.04646,58290.881729412264,0.827376,SECTOR_BETA
58.18740230824433,-12.034321095401248,22.636007,58345.05128788726,0.865751,SECTOR_BETA
58.188476430078886,-12.012504435881334,23.086178,58251.90126181379,0.846041,SECTOR_BETA
57.80757347443698,-11.929979635124967,23.203125,58432.22928853007,0.987793,SECTOR_BETA
57.79828916767548,-11.911009614045245,23.328125,58432.22928853007,0.850586,SECTOR_BETA
57.81468035902032,-11.882870498110131,23.107786,58203.609520305414,0.814117,SECTOR_BETA
57.8312787310792,-11.887227113713278,23.125408,58232.35502953219,0.83025,SECTOR_BETA
57.81762998420518,-11.874860850930345,23.33783,58239.31401598396,0.857591,SECTOR_BETA
57.826926636200355,-11.825501025591189,22.784027,58376.1224463135,0.873868,SECTOR_BETA
57.9017717121566,-11.9451361235942,23.3125,58369.35924776876,0.941895,SECTOR_BETA
57.91258783603446,-11.940350328271824,22.506172,58179.85035011483,0.830957,SECTOR_BETA
57.87288139605867,-11.87324550380915,22.55755,58360.727577464095,0.802734,SECTOR_BETA
57.96608590193557,-11.923707922166734,22.928768,58187.75567063403,0.907192,SECTOR_BETA
57.98926599494311,-11.881859670548314,23.203125,58426.19705340639,0.98877,SECTOR_BETA
57.91182169514035,-11.861735818253928,23.09375,58210.50235514694,0.858176,SECTOR_BETA
57.9020205770777,-11.804065878962795,22.558517,58222.79732537032,0.881903,SECTOR_BETA
57.927199463125184,-11.86910481856253,23.28125,58369.35875474941,0.99292,SECTOR_BETA
57.9902754446563,-11.86912262058723,22.521822,58275.99859960421,0.894043,SECTOR_BETA
58.00000573684831,-11.940054715287223,23.625,58369.35875474941,0.962402,SECTOR_BETA
58.0058716188263,-11.89811741610426,23.875,58225.73665628423,0.885864,SECTOR_BETA
58.07952950227383,-11.97749753808125,22.544628,58278.71157097627,0.855682,SECTOR_BETA
58.08272788733257,-11.980394366198562,23.078125,58394.18549604947,0.980957,SECTOR_BETA
58.14038931984064,-11.98392514644264,22.595417,58360.28978709212,0.83903,SECTOR_BETA
58.149081796982536,-11.960435007739454,22.5917,58250.55327661886,0.887695,SECTOR_BETA
58.12839193465552,-11.913156904195018,22.734375,58394.18549604947,0.993652,SECTOR_BETA
58.116656071116054,-11.90342197746717,22.537813,58259.96830529257,0.906315,SECTOR_BETA
58.01249031238732,-11.861550781509402,22.722881,58268.48443373953,0.802338,SECTOR_BETA
58.04517191876807,-11.863244454251667,23.063038,58260.099604285664,0.812109,SECTOR_BETA
58.0081411187017,-11.814077894859713,22.61975,58281.76740204037,0.809147,SECTOR_BETA
58.14709123509816,-11.83204998753694,23.59375,58432.22928853007,0.983887,SECTOR_BETA
58.18940007230745,-11.975163206765762,22.547567,58370.33268742864,0.824365,SECTOR_BETA
58.232584935469674,-11.923437639273956,22.532793,58259.96830529257,0.81639,SECTOR_BETA
58.2435759577746,-11.994271908007985,22.868446,58406.80798390391,0.803955,SECTOR_BETA
58.17727455151291,-11.875376919453648,23.203125,58432.22928853007,0.848633,SECTOR_BETA
58.194673489948634,-11.880217842157176,22.90625,58426.19705340639,0.993652,SECTOR_BETA
58.188882428116415,-11.858093041978613,23.103199,58374.3111842291,0.841357,SECTOR_BETA
58.21475364312398,-11.88174570443006,24.140625,58432.22928853007,0.984863,SECTOR_BETA
58.198173806173585,-11.867500824311003,23.46875,58432.22928853007,0.966309,SECTOR_BETA
58.16670146325314,-11.844267036868048,22.548592,58231.15879864145,0.800368,SECTOR_BETA
58.1897068125574,-11.8480343241498,22.859375,58432.22928853007,0.881836,SECTOR_BETA
58.178644511031955,-11.843598281104804,23.23445,58231.053733231376,0.812234,SECTOR_BETA
58.04640871784968,-11.786893072205102,22.505344,58262.04849151357,0.822776,SECTOR_BETA
58.09365235504602,-11.779618861702987,22.701193,58183.91203001649,0.907715,SECTOR_BETA
60.883499929431494,-14.217978974548998,22.86585,57511.55309304613,0.869204,SECTOR_GAMMA
60.864428681065824,-14.177176724740413,22.868456,57584.023821122915,0.832906,SECTOR_GAMMA
60.91867864652864,-14.23187298834782,23.90625,56920.36114423908,0.978516,SECTOR_GAMMA
60.96313354679559,-14.230810635083436,23.453125,56930.33404760808,0.993164,SECTOR_GAMMA
60.979242942132224,-14.223172503074172,22.72876,57575.40861349555,0.909642,SECTOR_GAMMA
61.04613096205894,-14.23109447385313,23.70504,57462.41812156136,0.835261,SECTOR_GAMMA
61.04639714292607,-14.204464746621378,24.0,56920.36947683571,0.888672,SECTOR_GAMMA
60.80455080989869,-14.036469255216655,22.794783,57677.36862977016,0.822542,SECTOR_GAMMA
60.77920205775778,-13.984002692650328,22.765625,58424.26236783946,0.829102,SECTOR_GAMMA
60.80813836019152,-13.980091481164646,22.53125,56920.36114423908,0.986816,SECTOR_GAMMA
60.83914325753407,-14.131013243905857,22.671875,57371.24693279294,0.991699,SECTOR_GAMMA
60.84454387482078,-14.131010646236035,22.53125,57371.24693279294,0.992676,SECTOR_GAMMA
60.89426480357679,-14.160817144786956,22.515625,58410.34369257791,0.867188,SECTOR_GAMMA
60.89264265223624,-14.157358700382163,22.522732,57695.03608889037,0.840413,SECTOR_GAMMA
60.85886091878345,-14.13161825317385,23.15625,57695.281622877344,0.991211,SECTOR_GAMMA
60.82964086905787,-14.106579003738064,23.218935,58014.1980677873,0.825736,SECTOR_GAMMA
60.8855407772773,-14.100130892011236,23.875,58410.34369257791,0.944336,SECTOR_GAMMA
60.88593004273359,-14.099742956117463,23.109375,58410.34369257791,0.916504,SECTOR_GAMMA
60.90439075803268,-14.172421658591931,23.59375,57371.24693279294,0.95166,SECTOR_GAMMA
60.92259586593884,-14.172451829939275,22.716436,57799.643876674054,0.818708,SECTOR_GAMMA
60.902742668189816,-14.134690994519952,22.689472,57693.21720106572,0.836174,SECTOR_GAMMA
60.942005530281584,-14.152656132702852,22.8125,58098.2643662137,0.962402,SECTOR_GAMMA
60.91988881302488,-14.122782181655555,22.921875,57371.24693279294,0.98291,SECTOR_GAMMA
60.93157207354212,-14.122444829867815,22.84361,57811.87701185858,0.862287,SECTOR_GAMMA
60.91687088305336,-14.093883899637602,22.894852,57836.70021208481,0.804332,SECTOR_GAMMA
60.89098774138431,-14.063365388749782,23.21875,58098.2643662137,0.994141,SECTOR_GAMMA
60.8619603197344,-14.011948101124856,22.988068,57542.15855035075,0.850056,SECTOR_GAMMA
60.85944700150236,-13.998790591171424,23.234375,57371.24693279294,0.983887,SECTOR_GAMMA
60.91783041703419,-14.039898482837764,22.6875,58424.26236783946,0.995117,SECTOR_GAMMA
60.96093236990651,-14.06951608328592,22.578125,57371.24693279294,0.946289,SECTOR_GAMMA
60.98092470127867,-14.080744397173785,23.34375,58396.227571449475,0.991455,SECTOR_GAMMA
60.75391303246472,-13.96978587728001,23.59375,56920.36114423908,0.90332,SECTOR_GAMMA
60.75723985735045,-13.964166610635363,22.621311,57943.81814028769,0.811446,SECTOR_GAMMA
60.81134101230895,-13.93428075660126,22.939222,57996.27631850293,0.824585,SECTOR_GAMMA
60.8936997474859,-13.949540671421069,22.859375,58098.2643662137,0.871094,SECTOR_GAMMA
60.81755689205886,-13.920827122593854,23.015625,56930.33404760808,0.960449,SECTOR_GAMMA
60.84763159983139,-13.93667859243048,22.73091,57977.757861633654,0.877011,SECTOR_GAMMA
60.83998483698539,-13.909485924413133,22.875,56930.33404760808,0.990723,SECTOR_GAMMA
60.851780170128464,-13.912732124114669,22.645432,57750.80999208242,0.881338,SECTOR_GAMMA
60.86945714674677,-13.932044822952308,22.687195,57813.76087582359,0.820312,SECTOR_GAMMA
60.878559129411336,-13.92228084731245,22.838242,57693.24593271147,0.844695,SECTOR_GAMMA
60.93971017756564,-13.95334907352841,22.515625,58098.2643662137,0.995605,SECTOR_GAMMA
60.94036568047931,-13.95125594066053,22.905846,57832.55285685592,0.853685,SECTOR_GAMMA
60.94943701676567,-13.978559598020077,23.46875,58098.2643662137,0.96875,SECTOR_GAMMA
60.9626677979722,-13.98994094717194,22.703074,57710.819151346346,0.853184,SECTOR_GAMMA
60.98121506018181,-13.997681634252135,22.71875,58098.2643662137,0.995117,SECTOR_GAMMA
60.95575074809141,-13.954525912551777,23.453125,58098.2643662137,0.879883,SECTOR_GAMMA
60.837737878573165,-13.885234819838686,22.684248,57607.962074922965,0.849162,SECTOR_GAMMA
60.821901080325354,-13.861101818381789,22.677982,57780.93249087173,0.849795,SECTOR_GAMMA
60.82791636611367,-13.866224805550065,22.514275,57723.91769073114,0.906555,SECTOR_GAMMA
60.872049594238774,-13.85035945121764,22.958649,57647.529577662426,0.818388,SECTOR_GAMMA
60.89418350394311,-13.869004161710208,22.85077,57661.61174658186,0.85204,SECTOR_GAMMA
60.91648296879382,-13.862326046397746,23.078125,58396.227571449475,0.98999,SECTOR_GAMMA
