ra,dec,mag,mjd,class_star,sector
29.86382645361289,1.805046114268805,22.339846,57720.10672870511,0.868607,SECTOR_ZERO_A
29.835641905656715,1.8245190638575073,22.589808,56951.282703605015,0.995881,SECTOR_ZERO_A
29.777541283580224,1.9060944785274856,23.330406,56933.331274777185,0.980198,SECTOR_ZERO_A
29.83066542431346,1.853589554078462,23.873262,58073.15513967397,0.95431,SECTOR_ZERO_A
29.83538275733478,1.857514210571817,22.645782,57387.94665430258,0.814359,SECTOR_ZERO_A
29.84389877504678,1.8672715161639917,23.282597,56933.331274777185,0.985091,SECTOR_ZERO_A
29.859889332111955,1.8564092212196728,22.455606,56951.282703605015,0.829968,SECTOR_ZERO_A
29.844868987578973,1.8790190111770848,22.339838,58010.30626683682,0.872933,SECTOR_ZERO_A
29.786875427756268,1.8937682706863057,22.46182,56604.23546109861,0.983763,SECTOR_ZERO_A
29.785419230965587,1.9029630207159236,22.01724,57547.31776839551,0.87359,SECTOR_ZERO_A
29.806827365379455,1.9099202624165827,23.271208,57563.767880551146,0.824625,SECTOR_ZERO_A
29.783966038344648,1.9307470697877784,22.652292,58010.30626683682,0.891765,SECTOR_ZERO_A
29.784170273479127,1.9384152256706857,22.33246,57313.22236109618,0.972303,SECTOR_ZERO_A
29.819399288652047,1.9257389075921791,23.591763,56951.282703605015,0.8806,SECTOR_ZERO_A
29.861327247228974,1.8931186891455447,22.563934,56951.282703605015,0.876625,SECTOR_ZERO_A
29.8603979489192,1.8973554189799775,22.303053,57374.81179178942,0.811589,SECTOR_ZERO_A
29.841481319892974,1.9226194144005315,22.091238,58073.15513967397,0.980043,SECTOR_ZERO_A
29.855928666167916,1.9225833113863784,22.078186,57507.06642254112,0.913437,SECTOR_ZERO_A
29.93515602036348,1.771886385040161,22.007599,57355.865929992666,0.8568,SECTOR_ZERO_A
29.91951843023664,1.814137707054819,22.22776,57710.11590258498,0.920576,SECTOR_ZERO_A
29.93377008449838,1.8328304069534171,22.852083,57313.22236109618,0.867194,SECTOR_ZERO_A
29.94772011156474,1.84160639300888,22.443163,57407.6466993596,0.814189,SECTOR_ZERO_A
29.96331840046347,1.760335985426804,23.854992,56933.331274777185,0.961254,SECTOR_ZERO_A
