ra,dec,rmag,mjd,class_star
58.0058716188263,-11.89811741610426,23.875,58225.73665628423,0.885864
58.11402538362963,-12.02688441581114,23.875,58237.13068505423,0.882507
57.827670323176285,-11.974550936429628,23.84375,58103.514348061544,0.872514
58.00501478640993,-11.989780361016752,23.78125,58264.90313961636,0.849609
58.13117982574772,-12.098347687069442,23.703125,58369.36261960957,0.933594
58.14459453202621,-12.089551491680792,23.6875,58426.19705340639,0.974609
58.0730904206332,-12.18309555956747,23.671875,58369.36261960957,0.989258
58.04202628259609,-12.09062663450257,23.640625,58230.587716789865,0.866862
58.00000573684831,-11.940054715287223,23.625,58369.35875474941,0.962402
58.14028146521837,-12.002435796518643,23.597328,58292.41924208755,0.870443
57.98819267017388,-12.057736608636011,23.546875,58396.22580694151,0.971191
57.88617087156768,-12.134384330322902,23.480879,58211.83320189322,0.819092
57.87190893183505,-12.100051691803005,23.465605,58177.72469779101,0.837646
58.15444230241424,-12.006862584800697,23.390625,58432.22928853007,0.943848
57.913010721439406,-12.100705111449097,23.355356,58111.18808291884,0.859212
57.9017717121566,-11.9451361235942,23.3125,58369.35924776876,0.941895
57.927199463125184,-11.86910481856253,23.28125,58369.35875474941,0.99292
57.995085706123014,-12.0288890048312,23.267698,58287.073509888185,0.829627
57.96684316426216,-12.130026363640654,23.264439,58158.44676192309,0.876577
57.93554338720839,-12.155406110798149,23.25,58110.31408605594,0.816748
58.17387980011112,-11.953485973982117,23.24746,58281.21634912697,0.855399
58.14583044570894,-12.1049690812921,23.224558,58224.36707759574,0.801097
57.9506641683606,-12.12185030303039,23.21875,58369.35924776876,0.961426
57.98926599494311,-11.881859670548314,23.203125,58426.19705340639,0.98877
58.00630565088183,-12.05443542550714,23.198198,58150.70697320088,0.830604
57.80937584796977,-11.957660875568124,23.164356,58161.22186773926,0.812683
58.12153006318016,-12.073122001108876,23.15625,58369.36261960957,0.983887
57.8312787310792,-11.887227113713278,23.125408,58232.35502953219,0.83025
57.8575656212829,-12.03630719193827,23.109375,58432.22928853007,0.983398
57.796973937808495,-12.02215507951698,23.109375,58369.35875474941,0.984619
57.91507799667059,-11.961323240918263,23.108114,58130.33403674424,0.815363
57.90861652981643,-11.976162078693818,23.09375,58369.36261960957,0.820312
57.91182169514035,-11.861735818253928,23.09375,58210.50235514694,0.858176
58.188476430078886,-12.012504435881334,23.086178,58251.90126181379,0.846041
58.08272788733257,-11.980394366198562,23.078125,58394.18549604947,0.980957
58.04517191876807,-11.863244454251667,23.063038,58260.099604285664,0.812109
57.890340662816925,-12.127032627250596,23.037985,58160.40005229344,0.829508
57.867605237486,-12.018532378460074,22.977873,58194.996673271264,0.822906
57.849258157944014,-11.977599808430451,22.977688,58203.48196628076,0.826691
57.8603155408499,-12.067338775901096,22.97639,58250.37626456007,0.869594
58.04749923506285,-12.056209875469346,22.974154,58232.242253406854,0.826532
57.91411424478965,-12.07029564027362,22.937525,58205.07790563642,0.802361
57.806400570600104,-12.01011766428684,22.9375,58432.22928853007,0.983398
57.96608590193557,-11.923707922166734,22.928768,58187.75567063403,0.907192
58.17663035116441,-11.953890665644046,22.922451,58288.75238422168,0.862777
57.97453749732275,-12.107963171726931,22.91257,58136.10902184155,0.825458
58.08742685554989,-12.10247394793887,22.783758,58205.07790563642,0.820427
58.063652977225225,-12.157782385654189,22.776834,58308.586225267754,0.82342
58.017427795161474,-12.076212935696471,22.753952,58232.242253406854,0.825581
58.12839193465552,-11.913156904195018,22.734375,58394.18549604947,0.993652
57.88804692471958,-12.085687048590378,22.728746,58193.25422001697,0.91626
58.01249031238732,-11.861550781509402,22.722881,58268.48443373953,0.802338
58.14303116666044,-12.087976293273575,22.714277,58239.33473765701,0.845292
58.05174273778642,-11.987288518859035,22.690145,58375.558846434775,0.871501
58.18740230824433,-12.034321095401248,22.636007,58345.05128788726,0.865751
58.0081411187017,-11.814077894859713,22.61975,58281.76740204037,0.809147
58.14038931984064,-11.98392514644264,22.595417,58360.28978709212,0.83903
58.149081796982536,-11.960435007739454,22.5917,58250.55327661886,0.887695
57.858154519572835,-12.076962915563048,22.58386,58259.96830529257,0.888737
57.81223084300659,-11.996929925028876,22.569382,58262.46698474941,0.807644
57.87288139605867,-11.87324550380915,22.55755,58360.727577464095,0.802734
58.18940007230745,-11.975163206765762,22.547567,58370.33268742864,0.824365
58.07952950227383,-11.97749753808125,22.544628,58278.71157097627,0.855682
58.116656071116054,-11.90342197746717,22.537813,58259.96830529257,0.906315
58.116271160923255,-12.035545686205944,22.53245,58290.00269276799,0.890706
57.9902754446563,-11.86912262058723,22.521822,58275.99859960421,0.894043
57.91258783603446,-11.940350328271824,22.506172,58179.85035011483,0.830957
58.01417224024253,-12.073845032855438,22.50386,58240.34290153436,0.915771
